code,country,annex,co2_gg_2022,source
BIH,Bosnia and Herzegovina,Non-Annex_I,21826.670729346,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KEN,Kenya,Non-Annex_I,21527.4425945,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ETH,Ethiopia,Non-Annex_I,21106.908284611,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AGO,Angola,Non-Annex_I,20185.668454826,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LAO,Lao People's Democratic Republic,Non-Annex_I,20125.89946197,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GTM,Guatemala,Non-Annex_I,20090.134913608,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LKA,Sri Lanka,Non-Annex_I,18535.917871728,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KHM,Cambodia,Non-Annex_I,17618.908296627,https://edgar.jrc.ec.europa.eu/dataset_ghg80
HRV,Croatia,Annex_I,17224.972668751,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TZA,Tanzania_United Republic of,Non-Annex_I,16978.74392839,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NPL,Nepal,Non-Annex_I,15847.309656645,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CIV,Cote d'Ivoire,Non-Annex_I,14491.922223728,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SVN,Slovenia,Annex_I,13946.915440324,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LTU,Lithuania,Annex_I,13263.814961294,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PRI,Puerto Rico,Non-Annex_I,12616.574853682,https://edgar.jrc.ec.europa.eu/dataset_ghg80
YEM,Yemen,Non-Annex_I,12263.16593428,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SEN,Senegal,Non-Annex_I,12074.709170191,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GEO,Georgia,Non-Annex_I,12013.897013917,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PAN,Panama,Non-Annex_I,11384.026083172,https://edgar.jrc.ec.europa.eu/dataset_ghg80
EST,Estonia,Annex_I,10847.949944102,https://edgar.jrc.ec.europa.eu/dataset_ghg80
HND,Honduras,Non-Annex_I,10612.619979717,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TJK,Tajikistan,Non-Annex_I,10551.2807389,https://edgar.jrc.ec.europa.eu/dataset_ghg80
KGZ,Kyrgyzstan,Non-Annex_I,10303.353973045,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ZWE,Zimbabwe,Non-Annex_I,10223.740604617,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CMR,Cameroon,Non-Annex_I,10080.182806495,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MOZ,Mozambique,Non-Annex_I,10028.175748102,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PRY,Paraguay,Non-Annex_I,9932.5535918696,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BEN,Benin,Non-Annex_I,9619.5492415606,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BRN,Brunei Darussalam,Non-Annex_I,9375.6538015089,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ZMB,Zambia,Non-Annex_I,9270.6940112139,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MDA,"Moldova, Republic of",Non-Annex_I,8652.0737532709,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CRI,Costa Rica,Non-Annex_I,8608.3824762492,https://edgar.jrc.ec.europa.eu/dataset_ghg80
URY,Uruguay,Non-Annex_I,8541.5246368542,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MKD,"Macedonia, the former Yugoslav Republic of",Non-Annex_I,8336.4722180141,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BWA,Botswana,Non-Annex_I,8213.7224364633,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SLV,El Salvador,Non-Annex_I,7972.4340132488,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LUX,Luxembourg,Annex_I,7586.8151244039,https://edgar.jrc.ec.europa.eu/dataset_ghg80
UGA,Uganda,Non-Annex_I,7540.2697238221,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CYP,Cyprus,Annex_I,7460.3097256009,https://edgar.jrc.ec.europa.eu/dataset_ghg80
COG,Congo,Non-Annex_I,7435.8233313909,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MLI,Mali,Non-Annex_I,6725.9714745256,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LVA,Latvia,Annex_I,6705.3685369968,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ARM,Armenia,Non-Annex_I,6326.5273597119,https://edgar.jrc.ec.europa.eu/dataset_ghg80
JAM,Jamaica,Non-Annex_I,6083.0410245033,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BFA,Burkina Faso,Non-Annex_I,5820.4773789894,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NIC,Nicaragua,Non-Annex_I,5734.3991817168,https://edgar.jrc.ec.europa.eu/dataset_ghg80
AFG,Afghanistan,Non-Annex_I,5675.7706590661,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MWI,Malawi,Non-Annex_I,5627.5385224458,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GAB,Gabon,Non-Annex_I,5516.5635526161,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NCL,New Caledonia,Non-Annex_I,5361.8492104097,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GNQ,Equatorial Guinea,Non-Annex_I,5053.8797303155,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PNG,Papua New Guinea,Non-Annex_I,4715.9188226643,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MRT,Mauritania,Non-Annex_I,4611.626579125,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ALB,Albania,Non-Annex_I,4486.2091880007,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NAM,Namibia,Non-Annex_I,4287.8293879068,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MUS,Mauritius,Non-Annex_I,4281.8180677186,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GUY,Guyana,Non-Annex_I,3804.0072016002,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GIN,Guinea,Non-Annex_I,3801.7265296753,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ISL,Iceland,Annex_I,3558.319913203,https://edgar.jrc.ec.europa.eu/dataset_ghg80
COD,Congo_the Democratic Republic of the,Non-Annex_I,3551.805143102,https://edgar.jrc.ec.europa.eu/dataset_ghg80
HTI,Haiti,Non-Annex_I,3437.0314804843,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SUR,Suriname,Non-Annex_I,3289.0243500733,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MDG,Madagascar,Non-Annex_I,3189.9973527913,https://edgar.jrc.ec.europa.eu/dataset_ghg80
REU,Reunion,Non-Annex_I,2736.5251404179,https://edgar.jrc.ec.europa.eu/dataset_ghg80
NER,Niger,Non-Annex_I,2633.172911313,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TGO,Togo,Non-Annex_I,2437.9513483192,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MAC,Macao,Non-Annex_I,2247.4002028266,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MDV,Maldives,Non-Annex_I,2181.0811636737,https://edgar.jrc.ec.europa.eu/dataset_ghg80
TCD,Chad,Non-Annex_I,2110.3825688948,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ANT,Netherlands Antilles,Non-Annex_I,2046.8336258994,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MLT,Malta,Annex_I,1715.4174443932,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BTN,Bhutan,Non-Annex_I,1712.4488075009,https://edgar.jrc.ec.europa.eu/dataset_ghg80
FJI,Fiji,Non-Annex_I,1692.9078356265,https://edgar.jrc.ec.europa.eu/dataset_ghg80
RWA,Rwanda,Non-Annex_I,1626.4439973573,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LBR,Liberia,Non-Annex_I,1622.8118814525,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BHS,Bahamas,Non-Annex_I,1446.2160847146,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PLW,Palau,Non-Annex_I,1357.0503285748,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SWZ,Swaziland,Non-Annex_I,1348.897040011,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SLE,Sierra Leone,Non-Annex_I,1099.6978162899,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SYC,Seychelles,Non-Annex_I,1095.0607044675,https://edgar.jrc.ec.europa.eu/dataset_ghg80
CPV,Cape Verde,Non-Annex_I,1015.0038932924,https://edgar.jrc.ec.europa.eu/dataset_ghg80
PYF,French Polynesia,Non-Annex_I,956.6949785637,https://edgar.jrc.ec.europa.eu/dataset_ghg80
SOM,Somalia,Non-Annex_I,940.55550229024,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BDI,Burundi,Non-Annex_I,924.15643548795,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GLP,Guadeloupe,Non-Annex_I,904.51570567707,https://edgar.jrc.ec.europa.eu/dataset_ghg80
MTQ,Martinique,Non-Annex_I,899.23660794584,https://edgar.jrc.ec.europa.eu/dataset_ghg80
ERI,Eritrea,Non-Annex_I,804.66024422707,https://edgar.jrc.ec.europa.eu/dataset_ghg80
LSO,Lesotho,Non-Annex_I,778.99948979854,https://edgar.jrc.ec.europa.eu/dataset_ghg80
DJI,Djibouti,Non-Annex_I,761.11627337099,https://edgar.jrc.ec.europa.eu/dataset_ghg80
BRB,Barbados,Non-Annex_I,674.16985453981,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GIB,Gibraltar,Non-Annex_I,663.61961105896,https://edgar.jrc.ec.europa.eu/dataset_ghg80
GMB,Gambia,Non-Annex_I,611.74118453677,https://edgar.jrc.ec.europa.eu/dataset_ghg80
